x,u_m,u_mm,M,,
0.275,-2.98E-06,-0.002980117,69.96145833,,
0.276,-3.00E-06,-0.003001213,69.91421333,,
0.277,-3.02E-06,-0.003022379,69.86697833,,
0.278,-3.04E-06,-0.003043614,69.81975333,,
0.279,-3.06E-06,-0.003064919,69.77253833,,
0.28,-3.09E-06,-0.003086294,69.72533333,,
0.281,-3.11E-06,-0.003107739,69.67813833,,
0.282,-3.13E-06,-0.003129254,69.63095333,,
0.283,-3.15E-06,-0.003150838,69.58377833,,
0.284,-3.17E-06,-0.003172491,69.53661333,,
0.285,-3.19E-06,-0.003194215,69.48945833,,
0.286,-3.22E-06,-0.003216007,69.44231333,,
0.287,-3.24E-06,-0.003237869,69.39517833,,
0.288,-3.26E-06,-0.003259801,69.34805333,,
0.289,-3.28E-06,-0.003281802,69.30093833,,
0.29,-3.30E-06,-0.003303872,69.25383333,,
0.291,-3.33E-06,-0.003326011,69.20673833,,
0.292,-3.35E-06,-0.00334822,69.15965333,,
0.293,-3.37E-06,-0.003370498,69.11257833,,
0.294,-3.39E-06,-0.003392845,69.06551333,,
0.295,-3.42E-06,-0.003415261,69.01845833,,
0.296,-3.44E-06,-0.003437746,68.97141333,,
0.297,-3.46E-06,-0.0034603,68.92437833,,
0.298,-3.48E-06,-0.003482923,68.87735333,,
0.299,-3.51E-06,-0.003505614,68.83033833,,
0.3,-3.53E-06,-0.003528375,68.78333333,,
0.301,-3.55E-06,-0.003551204,68.73633833,,
0.302,-3.57E-06,-0.003574103,68.68935333,,
0.303,-3.60E-06,-0.003597069,68.64237833,,
0.304,-3.62E-06,-0.003620105,68.59541333,,
0.305,-3.64E-06,-0.003643209,68.54845833,,
0.306,-3.67E-06,-0.003666381,68.50151333,,
0.307,-3.69E-06,-0.003689623,68.45457833,,
0.308,-3.71E-06,-0.003712932,68.40765333,,
0.309,-3.74E-06,-0.00373631,68.36073833,,
0.31,-3.76E-06,-0.003759756,68.31383333,,
0.311,-3.78E-06,-0.003783271,68.26693833,,
0.312,-3.81E-06,-0.003806854,68.22005333,,
0.313,-3.83E-06,-0.003830505,68.17317833,,
