x,u_m,u_mm,M,,,,,
-4.685,-3.88E-06,-0.003878012,68.07945833,,,,,
-4.684,-3.90E-06,-0.003901867,68.03261333,,,,,
-4.683,-3.93E-06,-0.003925791,67.98577833,,,,,
-4.682,-3.95E-06,-0.003949782,67.93895333,,,,,
-4.681,-3.97E-06,-0.003973842,67.89213833,,,,,
-4.68,-4.00E-06,-0.003997969,67.84533333,,,,,
-4.679,-4.02E-06,-0.004022164,67.79853833,,,,,
-4.678,-4.05E-06,-0.004046427,67.75175333,,,,,
-4.677,-4.07E-06,-0.004070758,67.70497833,,,,,
-4.676,-4.10E-06,-0.004095156,67.65821333,,,,,
-4.675,-4.12E-06,-0.004119623,67.61145833,,,,,
-4.674,-4.14E-06,-0.004144156,67.56471333,,,,,
-4.673,-4.17E-06,-0.004168758,67.51797833,,,,,
-4.672,-4.19E-06,-0.004193426,67.47125333,,,,,
-4.671,-4.22E-06,-0.004218163,67.42453833,,,,,
-4.67,-4.24E-06,-0.004242966,67.37783333,,,,,
-4.669,-4.27E-06,-0.004267837,67.33113833,,,,,
-4.668,-4.29E-06,-0.004292776,67.28445333,,,,,
-4.667,-4.32E-06,-0.004317782,67.23777833,,,,,
-4.666,-4.34E-06,-0.004342854,67.19111333,,,,,
-4.665,-4.37E-06,-0.004367995,67.14445833,,,,,
-4.664,-4.39E-06,-0.004393202,67.09781333,,,,,
-4.663,-4.42E-06,-0.004418476,67.05117833,,,,,
-4.662,-4.44E-06,-0.004443818,67.00455333,,,,,
-4.661,-4.47E-06,-0.004469226,66.95793833,,,,,
-4.66,-4.49E-06,-0.004494701,66.91133333,,,,,
-4.659,-4.52E-06,-0.004520244,66.86473833,,,,,
-4.658,-4.55E-06,-0.004545853,66.81815333,,,,,
-4.657,-4.57E-06,-0.004571529,66.77157833,,,,,
-4.656,-4.60E-06,-0.004597272,66.72501333,,,,,
-4.655,-4.62E-06,-0.004623081,66.67845833,,,,,
-4.654,-4.65E-06,-0.004648957,66.63191333,,,,,
-4.653,-4.67E-06,-0.0046749,66.58537833,,,,,
-4.652,-4.70E-06,-0.004700909,66.53885333,,,,,
-4.651,-4.73E-06,-0.004726985,66.49233833,,,,,
-4.65,-4.75E-06,-0.004753128,66.44583333,,,,,
-4.649,-4.78E-06,-0.004779336,66.39933833,,,,,
-4.648,-4.81E-06,-0.004805612,66.35285333,,,,,
-4.647,-4.83E-06,-0.004831953,66.30637833,,,,,
